,0
X12_Voriconazole_5_0_uM_,"12_[('Voriconazole', 5.0, 'uM')]"
X12_Vortioxetine_5_0_uM_,"12_[('Vortioxetine', 5.0, 'uM')]"
X12_Zileuton_5_0_uM_,"12_[('Zileuton', 5.0, 'uM')]"
X12_Oryzanol_5_0_uM_,"12_[('γ-Oryzanol', 5.0, 'uM')]"
X13_Abemaciclib_0_05_uM_,"13_[('Abemaciclib', 0.05, 'uM')]"
X13_Adagrasib_0_05_uM_,"13_[('Adagrasib', 0.05, 'uM')]"
X13_Afatinib_0_05_uM_,"13_[('Afatinib', 0.05, 'uM')]"
X13_Afatinib_0_5_uM_,"13_[('Afatinib', 0.5, 'uM')]"
X13_Afatinib_5_0_uM_,"13_[('Afatinib', 5.0, 'uM')]"
X13_Almonertinib_mesylate_0_05_uM_,"13_[('Almonertinib (mesylate)', 0.05, 'uM')]"
X13_Almonertinib_mesylate_0_5_uM_,"13_[('Almonertinib (mesylate)', 0.5, 'uM')]"
X13_Almonertinib_mesylate_5_0_uM_,"13_[('Almonertinib (mesylate)', 5.0, 'uM')]"
X13_Belumosudil_0_05_uM_,"13_[('Belumosudil', 0.05, 'uM')]"
X13_Belumosudil_0_5_uM_,"13_[('Belumosudil', 0.5, 'uM')]"
X13_Belumosudil_5_0_uM_,"13_[('Belumosudil', 5.0, 'uM')]"
X13_Berbamine_dihydrochloride_0_05_uM_,"13_[('Berbamine (dihydrochloride)', 0.05, 'uM')]"
X13_Berbamine_dihydrochloride_0_5_uM_,"13_[('Berbamine (dihydrochloride)', 0.5, 'uM')]"
X13_Berbamine_dihydrochloride_5_0_uM_,"13_[('Berbamine (dihydrochloride)', 5.0, 'uM')]"
X13_Berbamine_0_5_uM_,"13_[('Berbamine', 0.5, 'uM')]"
